レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品
R0034,中央区,男性,40代,月,2024/12/14,15:59,昼,750,フルーツ サラダ ヨーグルト
R0035,中央区,男性,30代,土,2024/02/26,16:26,昼,510,お茶 ティッシュ
R0036,中央区,男性,20代,水,2024/07/30,20:22,夜,1220,卵 おにぎり 牛乳 パン 歯ブラシ
R0037,中央区,女性,40代,土,2024/03/18,18:15,夜,350,おにぎり パン
R0038,中央区,女性,50代,月,2024/03/30,16:43,昼,650,栄養ドリンク 野菜ジュース サラダ
R0039,中央区,男性,30代,木,2024/08/03,12:37,昼,920,牛乳 卵 おにぎり パン
R0040,中央区,女性,20代,月,2024/01/28,11:38,昼,350,パン おにぎり
R0041,中央区,男性,50代,金,2024/02/27,08:21,朝,1150,ジュース お茶 コーヒー サンドイッチ 卵
R0042,中央区,男性,20代,日,2024/12/04,09:19,朝,680,牛乳 パン おにぎり
R0043,中央区,女性,30代,土,2024/12/12,22:03,夜,910,コーヒー お茶 ジュース サンドイッチ
R0044,中央区,女性,40代,木,2024/04/25,17:09,夜,910,サンドイッチ お茶 コーヒー ジュース
R0045,中央区,女性,50代,木,2024/07/15,11:50,昼,680,おにぎり 牛乳 チョコレート
R0046,中央区,男性,60代以上,金,2024/05/03,20:45,夜,1340,シャンプー ティッシュ トイレットペーパー 歯ブラシ チョコレート
R0047,中央区,女性,10代,木,2024/07/18,09:46,朝,140,おにぎり
R0048,中央区,男性,20代,水,2024/06/13,15:56,昼,580,缶コーヒー 冷凍食品 カップ麺
R0049,中央区,男性,10代,金,2024/01/01,22:35,夜,150,洗剤
R0050,中央区,女性,50代,日,2024/03/31,12:45,昼,930,ヨーグルト 栄養ドリンク サラダ フルーツ
R0051,中央区,男性,30代,土,2024/06/07,18:18,夜,570,お茶 サンドイッチ
R0052,中央区,女性,40代,月,2024/08/20,18:33,夜,840,ヨーグルト 野菜ジュース サラダ 栄養ドリンク
R0053,中央区,男性,10代,木,2024/03/09,21:31,夜,600,サラダ ヨーグルト お茶
R0054,中央区,男性,50代,火,2024/12/11,12:57,昼,910,サンドイッチ お茶 コーヒー ジュース
R0055,中央区,女性,40代,水,2024/03/28,18:16,夜,710,おにぎり 牛乳 卵
R0056,中央区,男性,50代,木,2024/08/11,17:30,夜,120,お茶
R0057,中央区,女性,30代,火,2024/09/03,09:22,朝,920,牛乳 パン おにぎり 卵
R0058,中央区,女性,50代,日,2024/12/30,19:26,夜,890,牛乳 おにぎり 卵 野菜ジュース
R0059,中央区,女性,30代,木,2024/09/07,20:53,夜,920,フルーツ 野菜ジュース 栄養ドリンク ヨーグルト 缶コーヒー
R0060,中央区,男性,30代,日,2024/08/16,15:44,昼,740,フルーツ 野菜ジュース サラダ
R0061,中央区,女性,10代,月,2024/12/29,18:36,夜,640,野菜ジュース ヨーグルト フルーツ
R0062,中央区,男性,30代,日,2024/07/01,08:50,朝,470,おにぎり 牛乳
R0063,中央区,女性,50代,土,2024/01/31,09:25,朝,140,おにぎり
R0064,中央区,男性,20代,火,2024/08/14,07:56,朝,270,フルーツ
R0065,中央区,男性,30代,木,2024/11/02,22:23,夜,1080,サンドイッチ コーヒー ジュース サラダ
R0066,中央区,女性,10代,木,2024/10/31,11:08,昼,480,トイレットペーパー 洗剤
R0067,中央区,男性,60代以上,火,2024/07/09,09:36,朝,820,ヨーグルト 野菜ジュース 栄養ドリンク フルーツ
R0068,中央区,女性,30代,日,2024/10/12,10:02,朝,800,コーヒー サンドイッチ カップ麺
R0069,中央区,男性,50代,月,2024/01/02,08:13,朝,740,サンドイッチ コーヒー お茶
R0070,中央区,男性,40代,土,2024/11/04,17:21,夜,370,栄養ドリンク ヨーグルト
R0071,中央区,男性,50代,日,2024/12/05,19:06,夜,980,サラダ フルーツ 栄養ドリンク 卵
R0072,中央区,男性,40代,金,2024/05/27,09:08,朝,550,ヨーグルト 栄養ドリンク 野菜ジュース
R0073,中央区,男性,20代,木,2024/12/11,10:19,朝,630,トイレットペーパー 歯ブラシ
R0074,中央区,女性,10代,水,2024/05/06,08:05,朝,850,お茶 ジュース コーヒー ティッシュ
R0075,中央区,女性,10代,火,2024/07/04,19:52,夜,240,卵
R0076,中央区,女性,10代,水,2024/01/23,21:45,夜,970,ヨーグルト 野菜ジュース 栄養ドリンク フルーツ アイス
R0077,中央区,男性,20代,月,2024/09/23,15:10,昼,290,サラダ
R0078,中央区,男性,60代以上,日,2024/05/03,20:06,夜,600,トイレットペーパー 洗剤 お茶
R0079,中央区,男性,40代,火,2024/07/17,21:21,夜,570,サンドイッチ お茶
R0080,中央区,男性,30代,水,2024/05/18,18:11,夜,920,おにぎり パン 牛乳 卵
R0081,中央区,女性,50代,火,2024/12/16,07:11,朝,180,栄養ドリンク
R0082,中央区,女性,50代,日,2024/10/26,16:14,昼,470,サラダ 栄養ドリンク
R0083,中央区,男性,20代,木,2024/09/17,08:23,朝,620,サンドイッチ コーヒー
R0084,中央区,男性,20代,火,2024/08/13,14:53,昼,290,お茶 コーヒー
R0085,中央区,男性,10代,木,2024/08/22,21:58,夜,570,栄養ドリンク ティッシュ
R0086,中央区,男性,20代,火,2024/04/19,19:51,夜,570,フルーツ 冷凍食品
R0087,中央区,女性,40代,土,2024/08/12,10:06,朝,250,おにぎり シャンプー
R0088,中央区,男性,20代,土,2024/09/11,22:16,夜,920,パン おにぎり 卵 牛乳
R0089,中央区,男性,10代,火,2024/01/27,20:48,夜,1220,フルーツ 栄養ドリンク サラダ 野菜ジュース 歯ブラシ
R0090,中央区,女性,50代,火,2024/06/26,19:31,夜,730,ジュース サンドイッチ シャンプー
R0091,中央区,女性,60代以上,水,2024/10/02,17:01,夜,910,サンドイッチ コーヒー お茶 ジュース
R0092,中央区,女性,60代以上,金,2024/05/21,15:27,昼,920,フルーツ サラダ 野菜ジュース 栄養ドリンク
R0093,中央区,男性,20代,木,2024/12/27,18:38,夜,240,卵
R0094,中央区,女性,10代,金,2024/02/10,09:23,朝,950,歯ブラシ シャンプー ティッシュ 洗剤
R0095,中央区,女性,60代以上,木,2024/07/10,19:52,夜,740,サラダ 栄養ドリンク フルーツ
R0096,中央区,男性,50代,土,2024/08/30,20:26,夜,1100,サラダ フルーツ 栄養ドリンク ヨーグルト ジュース
R0097,中央区,女性,20代,月,2024/06/15,16:17,昼,270,フルーツ
R0098,中央区,女性,30代,木,2024/03/29,07:48,朝,330,牛乳
R0099,中央区,女性,60代以上,日,2024/12/30,13:14,昼,370,野菜ジュース ヨーグルト
R0100,中央区,男性,20代,月,2024/10/14,21:29,夜,950,サラダ フルーツ 栄養ドリンク チョコレート
R0101,中央区,女性,30代,水,2024/10/04,13:24,昼,680,おにぎり パン 牛乳
R0102,中央区,男性,50代,火,2024/10/01,08:34,朝,120,お茶
R0103,中央区,男性,60代以上,火,2024/11/28,16:54,昼,450,栄養ドリンク フルーツ
R0104,中央区,男性,40代,金,2024/07/21,12:05,昼,450,フルーツ 野菜ジュース
R0105,中央区,女性,20代,月,2024/09/08,07:43,朝,1030,おにぎり パン 牛乳 卵 ポテトチップス
R0106,中央区,男性,20代,月,2024/08/11,20:52,夜,440,おにぎり 歯ブラシ
R0107,中央区,女性,60代以上,金,2024/12/12,09:45,朝,350,おにぎり パン
R0108,中央区,男性,10代,月,2024/04/09,19:30,夜,330,牛乳
R0109,中央区,男性,30代,月,2024/03/04,20:01,夜,570,栄養ドリンク ティッシュ
R0110,中央区,男性,10代,日,2024/11/04,17:56,夜,1210,パン 卵 おにぎり 牛乳 サラダ
R0111,中央区,女性,30代,水,2024/01/07,17:53,夜,920,卵 パン 牛乳 おにぎり
R0112,中央区,女性,20代,火,2024/03/26,14:30,昼,370,栄養ドリンク ヨーグルト
R0113,中央区,女性,30代,水,2024/05/04,22:04,夜,510,野菜ジュース 牛乳
R0114,中央区,男性,30代,水,2024/03/14,18:15,夜,910,コーヒー サンドイッチ お茶 ジュース
R0115,中央区,女性,50代,水,2024/02/14,13:24,昼,190,ヨーグルト
R0116,中央区,女性,50代,火,2024/09/20,18:16,夜,620,サンドイッチ コーヒー
R0117,中央区,男性,50代,土,2024/06/27,18:02,夜,880,卵 牛乳 おにぎり ジュース
R0118,中央区,男性,40代,月,2024/02/20,20:12,夜,660,サラダ ヨーグルト 野菜ジュース
R0119,中央区,男性,10代,土,2024/05/13,10:35,朝,680,ティッシュ サラダ
R0120,中央区,女性,50代,土,2024/11/13,15:32,昼,270,フルーツ
R0121,中央区,女性,50代,月,2024/12/24,17:30,夜,600,牛乳 フルーツ
R0122,中央区,女性,30代,火,2024/05/21,22:23,夜,1120,コーヒー サンドイッチ お茶 ジュース パン
R0123,中央区,男性,20代,月,2024/09/23,07:39,朝,460,ジュース コーヒー お茶
R0124,中央区,女性,40代,金,2024/01/29,12:03,昼,620,サンドイッチ ジュース
R0125,中央区,女性,10代,月,2024/07/18,18:13,夜,790,ジュース サンドイッチ コーヒー
R0126,中央区,女性,40代,日,2024/07/24,19:33,夜,980,アイス ポテトチップス キャンディ ガム
R0127,中央区,女性,40代,金,2024/11/17,11:14,昼,330,牛乳
R0128,中央区,男性,30代,日,2024/02/01,08:16,朝,660,栄養ドリンク サラダ ヨーグルト
R0129,中央区,男性,60代以上,月,2024/07/17,16:36,昼,290,サラダ
R0130,中央区,男性,50代,火,2024/02/02,11:31,昼,1130,おにぎり 牛乳 卵 パン チョコレート
R0131,中央区,男性,20代,火,2024/07/04,12:22,昼,740,栄養ドリンク サラダ フルーツ
R0132,中央区,男性,20代,月,2024/07/19,10:03,朝,270,フルーツ
R0133,中央区,女性,30代,日,2024/07/02,13:50,昼,410,シャンプー 歯ブラシ
R0134,中央区,男性,60代以上,土,2024/12/07,14:22,昼,1040,パン おにぎり 卵 牛乳 お茶
R0135,中央区,女性,50代,金,2024/04/25,22:28,夜,500,コーヒー お茶 チョコレート
R0136,中央区,男性,50代,火,2024/10/12,19:41,夜,550,野菜ジュース 栄養ドリンク ヨーグルト
R0137,中央区,男性,20代,水,2024/04/03,19:30,夜,1090,おにぎり パン 卵 牛乳 コーヒー
R0138,中央区,男性,10代,火,2024/06/22,10:22,朝,590,卵 おにぎり パン
R0139,中央区,男性,60代以上,日,2024/10/14,21:08,夜,780,パン 牛乳 卵
R0140,中央区,女性,50代,水,2024/12/30,14:39,昼,920,パン 牛乳 卵 おにぎり
R0141,中央区,男性,20代,水,2024/11/17,22:17,夜,900,卵 牛乳 おにぎり ヨーグルト
R0142,中央区,女性,20代,月,2024/10/04,08:55,朝,120,お茶
R0143,中央区,男性,20代,水,2024/06/21,10:00,朝,570,牛乳 卵
R0144,中央区,女性,60代以上,火,2024/09/16,16:27,昼,170,ジュース
R0145,中央区,男性,40代,火,2024/05/19,20:28,夜,320,洗剤 コーヒー
R0146,中央区,女性,60代以上,日,2024/04/18,19:41,夜,120,お茶
R0147,中央区,男性,40代,土,2024/03/02,18:15,夜,660,野菜ジュース ヨーグルト サラダ
R0148,中央区,男性,10代,木,2024/04/02,16:56,昼,750,サンドイッチ 歯ブラシ
R0149,中央区,女性,10代,火,2024/12/16,21:12,夜,540,パン トイレットペーパー
R0150,中央区,女性,20代,金,2024/08/06,12:19,昼,720,ジュース サンドイッチ 缶コーヒー
R0151,中央区,女性,30代,火,2024/01/05,22:35,夜,920,おにぎり 卵 パン 牛乳
R0152,中央区,男性,20代,金,2024/01/14,09:47,朝,810,歯ブラシ トイレットペーパー カップ麺
R0153,中央区,女性,20代,木,2024/06/28,22:16,夜,210,パン
R0154,中央区,男性,20代,土,2024/04/13,13:25,昼,290,お茶 コーヒー
R0155,中央区,女性,40代,日,2024/06/13,14:22,昼,740,サンドイッチ コーヒー お茶
R0156,中央区,男性,60代以上,土,2024/06/27,07:16,朝,450,歯ブラシ 洗剤
R0157,中央区,女性,20代,金,2024/09/22,22:45,夜,920,卵 おにぎり 牛乳 パン
R0158,中央区,女性,40代,土,2024/04/13,20:34,夜,140,おにぎり
R0159,中央区,男性,20代,月,2024/08/27,15:03,昼,1030,牛乳 おにぎり パン 卵 シャンプー
R0160,中央区,女性,10代,水,2024/07/08,21:52,夜,650,おにぎり パン 歯ブラシ
R0161,中央区,女性,20代,月,2024/03/26,16:13,昼,480,ヨーグルト サラダ
R0162,中央区,女性,20代,木,2024/09/02,14:35,昼,1110,フルーツ サラダ ヨーグルト 野菜ジュース カップ麺
R0163,中央区,女性,20代,火,2024/06/05,18:29,夜,930,お茶 ジュース サンドイッチ ヨーグルト
R0164,中央区,女性,40代,金,2024/10/30,18:33,夜,680,おにぎり 牛乳 パン
R0165,中央区,男性,10代,土,2024/09/19,18:17,夜,1280,フルーツ 栄養ドリンク サラダ ヨーグルト キャンディ
R0166,中央区,女性,30代,土,2024/06/15,08:39,朝,1140,フルーツ ヨーグルト 栄養ドリンク サラダ チョコレート
R0167,中央区,男性,40代,月,2024/12/03,21:02,夜,920,卵 パン おにぎり 牛乳
R0168,中央区,女性,50代,日,2024/05/07,22:52,夜,370,栄養ドリンク ヨーグルト
R0169,中央区,男性,30代,土,2024/11/14,15:18,昼,930,サンドイッチ お茶 ジュース ヨーグルト
R0170,中央区,女性,30代,月,2024/05/08,16:21,昼,290,サラダ
R0171,中央区,女性,20代,火,2024/07/04,13:36,昼,1030,ジュース サンドイッチ コーヒー 卵
R0172,中央区,女性,60代以上,日,2024/12/12,11:14,昼,710,牛乳 おにぎり 卵
R0173,中央区,女性,10代,火,2024/08/27,13:51,昼,270,フルーツ
R0174,中央区,男性,50代,水,2024/06/03,13:57,昼,660,ヨーグルト 栄養ドリンク サラダ
R0175,中央区,女性,10代,金,2024/08/28,11:16,昼,1000,ポテトチップス チョコレート 炭酸飲料 ガム
R0176,中央区,女性,60代以上,日,2024/05/10,22:43,夜,880,サンドイッチ お茶 ジュース おにぎり
R0177,中央区,女性,40代,木,2024/02/21,17:37,夜,290,お茶 ジュース
R0178,中央区,女性,30代,金,2024/04/12,21:03,夜,450,フルーツ カップ麺
R0179,中央区,女性,30代,月,2024/11/27,22:49,夜,370,ヨーグルト 野菜ジュース
R0180,中央区,男性,20代,月,2024/04/12,12:37,昼,460,ヨーグルト フルーツ
R0181,中央区,男性,60代以上,水,2024/08/05,08:37,朝,910,ジュース お茶 コーヒー サンドイッチ
R0182,中央区,男性,30代,日,2024/03/27,18:52,夜,560,おにぎり 卵 カップ麺
R0183,中央区,女性,10代,金,2024/01/05,08:50,朝,590,おにぎり パン 卵
R0184,中央区,女性,30代,金,2024/09/13,22:47,夜,860,卵 牛乳 おにぎり アイス
R0185,中央区,女性,10代,木,2024/10/16,07:03,朝,930,野菜ジュース フルーツ ヨーグルト サラダ
R0186,中央区,女性,50代,金,2024/06/04,16:00,昼,1090,お茶 ジュース サンドイッチ コーヒー 栄養ドリンク
R0187,中央区,男性,20代,土,2024/03/05,12:32,昼,680,フルーツ サラダ お茶
R0188,中央区,女性,20代,日,2024/10/23,17:01,夜,470,サラダ 野菜ジュース
R0189,中央区,女性,60代以上,土,2024/09/03,09:56,朝,280,カップ麺 缶コーヒー
R0190,中央区,男性,40代,木,2024/12/16,13:46,昼,290,サラダ
R0191,中央区,女性,50代,日,2024/04/27,11:01,昼,350,おにぎり パン
R0192,中央区,男性,30代,土,2024/11/19,15:14,昼,920,パン 卵 おにぎり 牛乳
R0193,中央区,男性,30代,木,2024/08/02,18:12,夜,640,野菜ジュース フルーツ ヨーグルト
R0194,中央区,女性,10代,金,2024/04/23,16:03,昼,470,おにぎり 牛乳
R0195,中央区,男性,60代以上,木,2024/08/01,20:21,夜,930,サラダ ヨーグルト フルーツ 栄養ドリンク
R0196,中央区,女性,10代,土,2024/11/29,08:03,朝,450,栄養ドリンク フルーツ
R0197,中央区,男性,60代以上,月,2024/07/26,19:09,夜,660,パン 卵 チョコレート
R0198,中央区,女性,50代,土,2024/11/08,09:31,朝,540,パン 牛乳
R0199,中央区,男性,30代,水,2024/05/04,19:13,夜,450,栄養ドリンク フルーツ
R0200,中央区,女性,50代,日,2024/07/07,08:01,朝,710,卵 牛乳 おにぎり
R0201,中央区,女性,60代以上,金,2024/10/01,08:52,朝,370,ヨーグルト 栄養ドリンク
R0202,中央区,男性,50代,土,2024/03/21,19:06,夜,1040,ポテトチップス ガム チョコレート キャンディ
R0203,中央区,男性,20代,日,2024/02/11,13:20,昼,560,歯ブラシ シャンプー 洗剤
R0204,中央区,男性,30代,水,2024/04/23,09:11,朝,570,お茶 サンドイッチ
R0205,中央区,男性,30代,月,2024/03/06,20:53,夜,480,野菜ジュース 歯ブラシ
R0206,中央区,女性,30代,日,2024/06/27,18:30,夜,1080,フルーツ 野菜ジュース ヨーグルト サラダ アイス
R0207,中央区,女性,20代,月,2024/02/05,18:13,夜,930,お茶 サンドイッチ コーヒー ヨーグルト
R0208,中央区,女性,40代,木,2024/03/26,08:36,朝,450,歯ブラシ 洗剤
R0209,中央区,女性,20代,木,2024/07/25,08:21,朝,920,フルーツ 野菜ジュース 栄養ドリンク サラダ
R0210,中央区,男性,10代,月,2024/07/04,21:47,夜,780,卵 牛乳 パン
R0211,中央区,男性,50代,火,2024/09/14,07:09,朝,820,栄養ドリンク フルーツ ヨーグルト 野菜ジュース
R0212,中央区,男性,40代,日,2024/04/05,08:53,朝,910,サンドイッチ お茶 コーヒー ジュース
R0213,中央区,男性,30代,木,2024/10/02,22:19,夜,620,サンドイッチ コーヒー
R0214,中央区,女性,40代,月,2024/09/05,22:15,夜,920,おにぎり 卵 パン 牛乳
R0215,中央区,男性,20代,土,2024/08/04,22:37,夜,240,卵
R0216,中央区,男性,10代,日,2024/07/31,13:25,昼,1240,サンドイッチ コーヒー お茶 ジュース 牛乳
R0217,中央区,女性,40代,木,2024/03/07,09:54,朝,270,フルーツ
R0218,中央区,女性,60代以上,木,2024/04/30,19:40,夜,180,野菜ジュース
R0219,中央区,女性,10代,火,2024/11/25,08:29,朝,920,おにぎり パン 牛乳 卵
R0220,中央区,女性,60代以上,土,2024/02/23,07:36,朝,360,卵 お茶
R0221,中央区,男性,60代以上,土,2024/08/19,15:35,昼,920,おにぎり パン 卵 牛乳
R0222,中央区,女性,60代以上,日,2024/10/14,07:06,朝,910,ジュース サンドイッチ コーヒー お茶
R0223,中央区,男性,60代以上,金,2024/09/15,07:22,朝,650,おにぎり 牛乳 カップ麺
R0224,中央区,女性,30代,土,2024/02/29,11:15,昼,170,コーヒー
R0225,中央区,男性,60代以上,木,2024/06/10,15:27,昼,1330,肉まん 弁当 冷凍食品 牛乳
R0226,中央区,女性,60代以上,火,2024/01/06,13:16,昼,470,栄養ドリンク サラダ
R0227,中央区,男性,40代,月,2024/01/11,15:09,昼,520,パン おにぎり ジュース
R0228,中央区,男性,50代,月,2024/08/12,11:44,昼,740,コーヒー サンドイッチ お茶
R0229,中央区,女性,50代,土,2024/02/26,07:56,朝,770,フルーツ サラダ チョコレート
R0230,中央区,男性,40代,金,2024/02/04,08:08,朝,660,栄養ドリンク サラダ 肉まん
R0231,中央区,女性,30代,土,2024/02/11,10:39,朝,1400,洗剤 歯ブラシ ティッシュ シャンプー サンドイッチ
R0232,中央区,男性,40代,月,2024/02/10,11:17,昼,720,サンドイッチ コーヒー 缶コーヒー
R0233,中央区,女性,50代,土,2024/12/31,15:00,昼,290,サラダ
R0234,中央区,男性,60代以上,木,2024/01/01,21:49,夜,500,ジュース 牛乳
R0235,中央区,男性,20代,木,2024/05/12,12:00,昼,170,ジュース
R0236,中央区,女性,10代,火,2024/01/07,13:38,昼,750,サラダ ヨーグルト フルーツ
R0237,中央区,男性,60代以上,月,2024/04/05,09:44,朝,330,牛乳
R0238,中央区,男性,50代,金,2024/09/15,16:25,昼,750,ヨーグルト フルーツ サラダ
R0239,中央区,女性,60代以上,月,2024/05/25,09:14,朝,930,フルーツ 野菜ジュース サラダ ヨーグルト
R0240,中央区,女性,40代,木,2024/10/07,10:47,朝,1210,ジュース サンドイッチ お茶 コーヒー 冷凍食品
R0241,中央区,男性,60代以上,土,2024/01/30,11:01,昼,1040,チョコレート ガム ポテトチップス キャンディ
R0242,中央区,女性,50代,日,2024/05/05,20:02,夜,920,おにぎり 卵 牛乳 パン
R0243,中央区,男性,40代,火,2024/11/19,20:12,夜,680,シャンプー ティッシュ 栄養ドリンク
R0244,中央区,女性,60代以上,金,2024/08/31,16:51,昼,460,ジュース お茶 コーヒー
R0245,中央区,男性,60代以上,水,2024/10/20,14:49,昼,740,野菜ジュース サラダ フルーツ
R0246,中央区,女性,60代以上,日,2024/05/03,08:27,朝,910,コーヒー ジュース サンドイッチ お茶
R0247,中央区,男性,20代,金,2024/04/06,16:20,昼,480,お茶 コーヒー 肉まん
R0248,中央区,女性,60代以上,水,2024/02/09,14:44,昼,1270,牛乳 パン おにぎり 卵 キャンディ
R0249,中央区,女性,50代,火,2024/03/24,10:44,朝,170,ジュース
R0250,中央区,女性,30代,月,2024/02/25,18:20,夜,450,栄養ドリンク フルーツ
R0251,中央区,男性,10代,火,2024/04/16,10:02,朝,910,コーヒー ジュース サンドイッチ お茶
R0252,中央区,女性,10代,土,2024/12/24,12:21,昼,270,フルーツ
R0253,中央区,女性,10代,木,2024/05/08,09:13,朝,380,フルーツ シャンプー
R0254,中央区,女性,30代,日,2024/09/12,19:07,夜,170,コーヒー
R0255,中央区,男性,10代,日,2024/07/22,09:56,朝,140,おにぎり
R0256,中央区,女性,50代,火,2024/11/11,11:44,昼,450,栄養ドリンク フルーツ
R0257,中央区,男性,60代以上,土,2024/05/29,19:37,夜,960,サラダ ヨーグルト 栄養ドリンク 野菜ジュース お茶
R0258,中央区,男性,30代,火,2024/06/22,20:38,夜,660,ヨーグルト 栄養ドリンク サラダ
R0259,中央区,女性,20代,土,2024/11/22,17:03,夜,740,ジュース サンドイッチ お茶
R0260,中央区,男性,20代,金,2024/05/11,20:53,夜,470,おにぎり 牛乳
R0261,中央区,男性,40代,木,2024/07/08,17:14,夜,470,牛乳 おにぎり
R0262,中央区,女性,10代,土,2024/05/02,14:14,昼,170,ジュース
R0263,中央区,男性,40代,火,2024/02/13,22:51,夜,450,フルーツ 栄養ドリンク
R0264,中央区,男性,60代以上,土,2024/10/06,21:59,夜,470,おにぎり 牛乳
R0265,中央区,男性,20代,日,2024/05/24,09:22,朝,920,おにぎり 卵 牛乳 パン
R0266,中央区,男性,60代以上,木,2024/10/22,14:00,昼,640,サンドイッチ ヨーグルト
R0267,中央区,男性,20代,木,2024/01/27,09:12,朝,490,お茶 ガム
R0268,中央区,男性,20代,木,2024/03/28,08:25,朝,620,コーヒー サンドイッチ
R0269,中央区,女性,30代,金,2024/03/15,11:47,昼,720,ヨーグルト サラダ 卵
R0270,中央区,女性,30代,木,2024/07/15,12:58,昼,1050,お茶 コーヒー ジュース サンドイッチ おにぎり
R0271,中央区,男性,20代,金,2024/10/21,19:50,夜,1090,ジュース サンドイッチ コーヒー お茶 栄養ドリンク
R0272,中央区,女性,60代以上,水,2024/04/04,11:24,昼,920,おにぎり パン 卵 牛乳
R0273,中央区,男性,60代以上,金,2024/04/07,16:18,昼,450,サンドイッチ
R0274,中央区,女性,50代,水,2024/11/20,13:17,昼,570,お茶 サンドイッチ
R0275,中央区,男性,40代,火,2024/01/02,18:35,夜,950,洗剤 ティッシュ シャンプー 歯ブラシ
R0276,中央区,男性,20代,土,2024/02/01,21:58,夜,540,パン 牛乳
R0277,中央区,女性,30代,土,2024/05/11,15:33,昼,920,パン 牛乳 おにぎり 卵
R0278,中央区,男性,20代,月,2024/11/08,22:22,夜,590,卵 パン おにぎり
R0279,中央区,男性,60代以上,金,2024/09/21,15:53,昼,1030,パン おにぎり 牛乳 キャンディ
R0280,中央区,女性,10代,日,2024/08/17,07:29,朝,740,フルーツ 栄養ドリンク サラダ
R0281,中央区,女性,60代以上,金,2024/09/10,19:24,夜,140,おにぎり
R0282,中央区,女性,30代,金,2024/11/12,08:05,朝,180,栄養ドリンク
R0283,中央区,男性,10代,火,2024/01/28,14:28,昼,450,洗剤 歯ブラシ
R0284,中央区,女性,30代,月,2024/04/20,16:38,昼,680,牛乳 おにぎり パン
R0285,中央区,女性,10代,木,2024/12/25,16:20,昼,170,ジュース
R0286,中央区,女性,60代以上,水,2024/06/20,07:53,朝,560,フルーツ サラダ
R0287,中央区,女性,60代以上,金,2024/08/15,18:04,夜,190,ヨーグルト
R0288,中央区,男性,50代,金,2024/10/27,08:44,朝,850,パン おにぎり 牛乳 コーヒー
R0289,中央区,女性,50代,土,2024/10/01,16:46,昼,290,ジュース お茶
